submission_id,age,comments,education,endTime,experiment_id,final_points,gender,goal,horizonSize,languages,number_of_clicks,participant_ID,startDate,startTime,timeSpent,trial_name,trial_number,value,x_coordinate,y_coordinate
929,20,,Graduated High School,1563896855297,79,527,male,Maximization,30,"Bulgarian, German",11,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,69,6,8
929,20,,Graduated High School,1563896855297,79,587,male,Maximization,30,"Bulgarian, German",12,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,60,7,8
929,20,,Graduated High School,1563896855297,79,653,male,Maximization,30,"Bulgarian, German",13,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,66,6,9
929,20,,Graduated High School,1563896855297,79,715,male,Maximization,30,"Bulgarian, German",14,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,62,5,8
929,20,,Graduated High School,1563896855297,79,771,male,Maximization,30,"Bulgarian, German",15,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,56,5,9
929,20,,Graduated High School,1563896855297,79,828,male,Maximization,30,"Bulgarian, German",16,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,57,7,9
929,20,,Graduated High School,1563896855297,79,870,male,Maximization,30,"Bulgarian, German",17,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,42,2,2
929,20,,Graduated High School,1563896855297,79,904,male,Maximization,30,"Bulgarian, German",18,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,34,1,2
929,20,,Graduated High School,1563896855297,79,955,male,Maximization,30,"Bulgarian, German",19,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,51,3,2
929,20,,Graduated High School,1563896855297,79,1013,male,Maximization,30,"Bulgarian, German",20,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,58,4,2
929,20,,Graduated High School,1563896855297,79,1059,male,Maximization,30,"Bulgarian, German",21,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,46,4,1
929,20,,Graduated High School,1563896855297,79,1118,male,Maximization,30,"Bulgarian, German",22,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,59,4,3
929,20,,Graduated High School,1563896855297,79,1171,male,Maximization,30,"Bulgarian, German",23,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,53,5,2
929,20,,Graduated High School,1563896855297,79,1219,male,Maximization,30,"Bulgarian, German",24,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,48,4,4
929,20,,Graduated High School,1563896855297,79,1272,male,Maximization,30,"Bulgarian, German",25,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,53,3,3
929,20,,Graduated High School,1563896855297,79,1325,male,Maximization,30,"Bulgarian, German",26,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,53,5,3
929,20,,Graduated High School,1563896855297,79,1363,male,Maximization,30,"Bulgarian, German",27,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,38,9,2
929,20,,Graduated High School,1563896855297,79,1399,male,Maximization,30,"Bulgarian, German",28,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,36,8,2
929,20,,Graduated High School,1563896855297,79,1423,male,Maximization,30,"Bulgarian, German",29,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,24,9,3
929,20,,Graduated High School,1563896855297,79,1478,male,Maximization,30,"Bulgarian, German",30,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,2,55,9,1
929,20,,Graduated High School,1563896855297,79,26,male,Maximization,30,"Bulgarian, German",1,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,26,5,5
929,20,,Graduated High School,1563896855297,79,71,male,Maximization,30,"Bulgarian, German",2,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,45,6,5
929,20,,Graduated High School,1563896855297,79,134,male,Maximization,30,"Bulgarian, German",3,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,63,7,5
929,20,,Graduated High School,1563896855297,79,199,male,Maximization,30,"Bulgarian, German",4,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,65,7,4
929,20,,Graduated High School,1563896855297,79,256,male,Maximization,30,"Bulgarian, German",5,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,57,8,4
929,20,,Graduated High School,1563896855297,79,311,male,Maximization,30,"Bulgarian, German",6,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,55,7,3
929,20,,Graduated High School,1563896855297,79,368,male,Maximization,30,"Bulgarian, German",7,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,57,8,4
929,20,,Graduated High School,1563896855297,79,433,male,Maximization,30,"Bulgarian, German",8,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,65,8,5
929,20,,Graduated High School,1563896855297,79,495,male,Maximization,30,"Bulgarian, German",9,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,62,8,6
929,20,,Graduated High School,1563896855297,79,551,male,Maximization,30,"Bulgarian, German",10,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,56,9,5
929,20,,Graduated High School,1563896855297,79,603,male,Maximization,30,"Bulgarian, German",11,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,52,9,6
929,20,,Graduated High School,1563896855297,79,661,male,Maximization,30,"Bulgarian, German",12,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,58,6,4
929,20,,Graduated High School,1563896855297,79,704,male,Maximization,30,"Bulgarian, German",13,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,43,5,3
929,20,,Graduated High School,1563896855297,79,754,male,Maximization,30,"Bulgarian, German",14,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,50,2,8
929,20,,Graduated High School,1563896855297,79,796,male,Maximization,30,"Bulgarian, German",15,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,42,1,8
929,20,,Graduated High School,1563896855297,79,836,male,Maximization,30,"Bulgarian, German",16,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,40,3,8
929,20,,Graduated High School,1563896855297,79,895,male,Maximization,30,"Bulgarian, German",17,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,59,2,9
929,20,,Graduated High School,1563896855297,79,945,male,Maximization,30,"Bulgarian, German",18,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,50,2,10
929,20,,Graduated High School,1563896855297,79,1004,male,Maximization,30,"Bulgarian, German",19,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,59,2,9
929,20,,Graduated High School,1563896855297,79,1053,male,Maximization,30,"Bulgarian, German",20,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,49,1,9
929,20,,Graduated High School,1563896855297,79,1106,male,Maximization,30,"Bulgarian, German",21,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,53,3,9
929,20,,Graduated High School,1563896855297,79,1112,male,Maximization,30,"Bulgarian, German",22,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,6,2,2
929,20,,Graduated High School,1563896855297,79,1157,male,Maximization,30,"Bulgarian, German",23,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,45,9,9
929,20,,Graduated High School,1563896855297,79,1204,male,Maximization,30,"Bulgarian, German",24,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,47,8,9
929,20,,Graduated High School,1563896855297,79,1248,male,Maximization,30,"Bulgarian, German",25,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,44,10,9
929,20,,Graduated High School,1563896855297,79,1314,male,Maximization,30,"Bulgarian, German",26,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,66,8,10
929,20,,Graduated High School,1563896855297,79,1377,male,Maximization,30,"Bulgarian, German",27,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,63,7,10
929,20,,Graduated High School,1563896855297,79,1447,male,Maximization,30,"Bulgarian, German",28,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,70,9,10
929,20,,Graduated High School,1563896855297,79,1514,male,Maximization,30,"Bulgarian, German",29,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,67,10,10
929,20,,Graduated High School,1563896855297,79,1515,male,Maximization,30,"Bulgarian, German",30,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,3,1,9,1
929,20,,Graduated High School,1563896855297,79,23,male,Maximization,30,"Bulgarian, German",1,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,23,5,5
929,20,,Graduated High School,1563896855297,79,65,male,Maximization,30,"Bulgarian, German",2,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,42,6,5
929,20,,Graduated High School,1563896855297,79,124,male,Maximization,30,"Bulgarian, German",3,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,59,7,5
929,20,,Graduated High School,1563896855297,79,182,male,Maximization,30,"Bulgarian, German",4,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,58,8,5
929,20,,Graduated High School,1563896855297,79,239,male,Maximization,30,"Bulgarian, German",5,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,57,7,6
929,20,,Graduated High School,1563896855297,79,297,male,Maximization,30,"Bulgarian, German",6,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,58,7,4
929,20,,Graduated High School,1563896855297,79,352,male,Maximization,30,"Bulgarian, German",7,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,55,8,4
